,0
74,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/saude/9160-pesquisa-nacional-de-saude.html
75,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/educacao/pesquisa-nacional-de-saude-do-escola9134ovo-portal/estatisticas/demografia-e-estatisticas-sociais/educacao/pesquisa-nacional-de-saude-do-escolar.html
76,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/caracteristicas-gerais-da-populacao/pesquisa-nacional-por-amostra-de-domicilio9127ovo-portal/estatisticas/demografia-e-estatisticas-sociais/populacao/caracteristicas-gerais-da-populacao/pesquisa-nacional-por-amostra-de-domicilios.html
77,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/trabalho/trabalho-remunerado/17270-pnad-continua.html
78,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/trabalho/trabalho-remunerado/9171-pesquisa-nacional-por-amostra-de-domicilios-continua.html
79,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/trabalho/trabalho-remunerado/9173-pesquisa-nacional-por-amostra-de-domicilios-continua-trimestral.html
80,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/sociedade-da-informacao/9137-pesquisa-sobre-o-uso-das-tecnologias-de-informacao-e-comunicacao-nas-empresas.html
81,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9203-pesquisas-trimestrais-do-abate-de-animais.html
82,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9214-pesquisa-trimestral-do-couro.html
83,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9209-pesquisa-trimestral-do-leite.html
84,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/19111-pesquisas-trimestrais-do-abate-de-animais-do-leite-do-couro-e-da-producao-de-ovos-de-galinha.html
